id;slug;produktname;marke;kategorie_slug;kategorie_name;preis_eur;alter_preis_eur;bewertung;anzahl_bewertungen;material;groesse_cm;waschbar;farben;typ;kurzbeschreibung;badge;bild_url_1;bild_url_2;bild_url_3;bild_alt_1;bild_alt_2;bild_alt_3;affiliate_url_amazon;affiliate_url_zooplus;affiliate_url_fressnapf;preis_amazon;preis_zooplus;preis_fressnapf;amazon_asin;besonderheiten;seo_title;seo_description
11;flauschiges-donut-katzenbett-k;Flauschiges Donut Katzenbett K;lionto;donut-katzenbetten;Donut Katzenbetten;32,46;;3.7;31;Plüsch;60x60;Ja;Beige;Donut Katzenbetten;Weiches Donut-Katzenbett mit erhöhtem Rand für zusätzliche Sicherheit und Komfort. Ideal zum Kuscheln und Schlafen.;Beliebt;https://images.unsplash.com/photo-1543852786-1cf6624b9987?w=800&h=800&fit=crop&q=80;https://images.unsplash.com/photo-1518791841217-8f162f1e1131?w=800&h=800&fit=crop&q=80;https://images.unsplash.com/photo-1571566882372-1598d88abd90?w=800&h=800&fit=crop&q=80;Flauschiges Donut Katzenbett K - Bild 1;Flauschiges Donut Katzenbett K - Bild 2;Flauschiges Donut Katzenbett K - Bild 3;https://amzn.to/PLATZHALTER11;https://zooplus.de/PLATZHALTER/flauschiges-donut-katzenbett-k;https://fressnapf.de/PLATZHALTER/flauschiges-donut-katzenbett-k;32,46;35,06;34,41;B020011XYZ;Ergonomisches Design;Flauschiges Donut Katzenbett K Test 2026 ab 32.46 EUR | katz;Flauschiges Donut Katzenbett K ab 32.46 EUR bei 3 Shops. 3.7/5 aus 31 Bewertungen.
12;komfort-donut-katzennest-l;Komfort Donut Katzennest L;SCHLITZOHR;donut-katzenbetten;Donut Katzenbetten;34,23;41,08;3.7;32;Baumwolle;70x70;Nein;Braun;Donut Katzenbetten;Weiches Donut-Katzenbett mit erhöhtem Rand für zusätzliche Sicherheit und Komfort. Ideal zum Kuscheln und Schlafen.;Beliebt;https://images.unsplash.com/photo-1518791841217-8f162f1e1131?w=800&h=800&fit=crop&q=80;https://images.unsplash.com/photo-1571566882372-1598d88abd90?w=800&h=800&fit=crop&q=80;https://images.unsplash.com/photo-1606214174585-fe31582dc6ee?w=800&h=800&fit=crop&q=80;Komfort Donut Katzennest L - Bild 1;Komfort Donut Katzennest L - Bild 2;Komfort Donut Katzennest L - Bild 3;https://amzn.to/PLATZHALTER12;https://zooplus.de/PLATZHALTER/komfort-donut-katzennest-l;https://fressnapf.de/PLATZHALTER/komfort-donut-katzennest-l;34,23;36,97;36,28;B021012XYZ;Maschinenwaschbar bis 30°C;Komfort Donut Katzennest L Test 2026 ab 34.23 EUR | katzenbe;Komfort Donut Katzennest L ab 34.23 EUR bei 3 Shops. 3.7/5 aus 32 Bewertungen.
13;filzhoehle-katzenbett-a;Filzhöhle Katzenbett A;Trixie;katzenhoehlen;Katzenhöhlen;36,00;;3.7;33;Filz;80x80;Ja;Dunkelgrau;Katzenhöhlen;Gemütliche Katzenhöhle aus hochwertigem Filz mit ausreichend Platz. Bietet Katzen einen privaten Rückzugsort.;Beliebt;https://images.unsplash.com/photo-1571566882372-1598d88abd90?w=800&h=800&fit=crop&q=80;https://images.unsplash.com/photo-1606214174585-fe31582dc6ee?w=800&h=800&fit=crop&q=80;https://images.unsplash.com/photo-1570824104453-508955ab713e?w=800&h=800&fit=crop&q=80;Filzhöhle Katzenbett A - Bild 1;Filzhöhle Katzenbett A - Bild 2;Filzhöhle Katzenbett A - Bild 3;https://amzn.to/PLATZHALTER13;https://zooplus.de/PLATZHALTER/filzhoehle-katzenbett-a;https://fressnapf.de/PLATZHALTER/filzhoehle-katzenbett-a;36,00;38,88;38,16;B022013XYZ;Rutschfester Boden;Filzhöhle Katzenbett A Test 2026 ab 36.00 EUR | katzenbett.d;Filzhöhle Katzenbett A ab 36.00 EUR bei 3 Shops. 3.7/5 aus 33 Bewertungen.
14;katzenhaus-hoehle-natur-b;Katzenhaus Höhle Natur B;PetPäl;katzenhoehlen;Katzenhöhlen;37,77;;3.7;34;Fleece;90x90;Ja;Hellgrau;Katzenhöhlen;Gemütliche Katzenhöhle aus hochwertigem Filz mit ausreichend Platz. Bietet Katzen einen privaten Rückzugsort.;Beliebt;https://images.unsplash.com/photo-1606214174585-fe31582dc6ee?w=800&h=800&fit=crop&q=80;https://images.unsplash.com/photo-1570824104453-508955ab713e?w=800&h=800&fit=crop&q=80;https://images.unsplash.com/photo-1592194996308-7b43878e84a6?w=800&h=800&fit=crop&q=80;Katzenhaus Höhle Natur B - Bild 1;Katzenhaus Höhle Natur B - Bild 2;Katzenhaus Höhle Natur B - Bild 3;https://amzn.to/PLATZHALTER14;https://zooplus.de/PLATZHALTER/katzenhaus-hoehle-natur-b;https://fressnapf.de/PLATZHALTER/katzenhaus-hoehle-natur-b;37,77;40,79;40,04;B023014XYZ;Hypoallergen;Katzenhaus Höhle Natur B Test 2026 ab 37.77 EUR | katzenbett;Katzenhaus Höhle Natur B ab 37.77 EUR bei 3 Shops. 3.7/5 aus 34 Bewertungen.
15;katzeigl-filzhaus-c;Katzeigl Filzhaus C;Curver;katzenhoehlen;Katzenhöhlen;39,54;47,45;3.7;35;Mikrofaser;100x100;Nein;Anthrazit;Katzenhöhlen;Gemütliche Katzenhöhle aus hochwertigem Filz mit ausreichend Platz. Bietet Katzen einen privaten Rückzugsort.;Beliebt;https://images.unsplash.com/photo-1570824104453-508955ab713e?w=800&h=800&fit=crop&q=80;https://images.unsplash.com/photo-1592194996308-7b43878e84a6?w=800&h=800&fit=crop&q=80;https://images.unsplash.com/photo-1583795128727-6ec3642408f8?w=800&h=800&fit=crop&q=80;Katzeigl Filzhaus C - Bild 1;Katzeigl Filzhaus C - Bild 2;Katzeigl Filzhaus C - Bild 3;https://amzn.to/PLATZHALTER15;https://zooplus.de/PLATZHALTER/katzeigl-filzhaus-c;https://fressnapf.de/PLATZHALTER/katzeigl-filzhaus-c;39,54;42,70;41,91;B024015XYZ;Umweltfreundlich;Katzeigl Filzhaus C Test 2026 ab 39.54 EUR | katzenbett.de;Katzeigl Filzhaus C ab 39.54 EUR bei 3 Shops. 3.7/5 aus 35 Bewertungen.
16;katzenhoehle-aus-filz-d;Katzenhöhle aus Filz D;HUNTER;katzenhoehlen;Katzenhöhlen;41,31;;3.7;36;Linen;45x45;Ja;Creme;Katzenhöhlen;Gemütliche Katzenhöhle aus hochwertigem Filz mit ausreichend Platz. Bietet Katzen einen privaten Rückzugsort.;;https://images.unsplash.com/photo-1592194996308-7b43878e84a6?w=800&h=800&fit=crop&q=80;https://images.unsplash.com/photo-1583795128727-6ec3642408f8?w=800&h=800&fit=crop&q=80;https://images.unsplash.com/photo-1478098711619-5ab0b478d6e6?w=800&h=800&fit=crop&q=80;Katzenhöhle aus Filz D - Bild 1;Katzenhöhle aus Filz D - Bild 2;Katzenhöhle aus Filz D - Bild 3;https://amzn.to/PLATZHALTER16;https://zooplus.de/PLATZHALTER/katzenhoehle-aus-filz-d;https://fressnapf.de/PLATZHALTER/katzenhoehle-aus-filz-d;41,31;44,61;43,79;B025016XYZ;Leicht zu reinigen;Katzenhöhle aus Filz D Test 2026 ab 41.31 EUR | katzenbett.d;Katzenhöhle aus Filz D ab 41.31 EUR bei 3 Shops. 3.7/5 aus 36 Bewertungen.
17;katzen-iglu-bett-e;Katzen Iglu Bett E;CasaLoba;katzenhoehlen;Katzenhöhlen;43,08;;3.8;37;Memory Foam;55x55;Ja;Schwarz;Katzenhöhlen;Gemütliche Katzenhöhle aus hochwertigem Filz mit ausreichend Platz. Bietet Katzen einen privaten Rückzugsort.;;https://images.unsplash.com/photo-1583795128727-6ec3642408f8?w=800&h=800&fit=crop&q=80;https://images.unsplash.com/photo-1478098711619-5ab0b478d6e6?w=800&h=800&fit=crop&q=80;https://images.unsplash.com/photo-1561948955-570b270e7c36?w=800&h=800&fit=crop&q=80;Katzen Iglu Bett E - Bild 1;Katzen Iglu Bett E - Bild 2;Katzen Iglu Bett E - Bild 3;https://amzn.to/PLATZHALTER17;https://zooplus.de/PLATZHALTER/katzen-iglu-bett-e;https://fressnapf.de/PLATZHALTER/katzen-iglu-bett-e;43,08;46,53;45,66;B026017XYZ;Ergonomisches Design;Katzen Iglu Bett E Test 2026 ab 43.08 EUR | katzenbett.de;Katzen Iglu Bett E ab 43.08 EUR bei 3 Shops. 3.8/5 aus 37 Bewertungen.
18;filzhoehle-katzenbett-f;Filzhöhle Katzenbett F;Kerbl;katzenhoehlen;Katzenhöhlen;44,85;53,82;3.8;38;Orthopädischer Schaum;40x40;Nein;Navy;Katzenhöhlen;Gemütliche Katzenhöhle aus hochwertigem Filz mit ausreichend Platz. Bietet Katzen einen privaten Rückzugsort.;;https://images.unsplash.com/photo-1478098711619-5ab0b478d6e6?w=800&h=800&fit=crop&q=80;https://images.unsplash.com/photo-1561948955-570b270e7c36?w=800&h=800&fit=crop&q=80;https://images.unsplash.com/photo-1494256997604-768d1f608cac?w=800&h=800&fit=crop&q=80;Filzhöhle Katzenbett F - Bild 1;Filzhöhle Katzenbett F - Bild 2;Filzhöhle Katzenbett F - Bild 3;https://amzn.to/PLATZHALTER18;https://zooplus.de/PLATZHALTER/filzhoehle-katzenbett-f;https://fressnapf.de/PLATZHALTER/filzhoehle-katzenbett-f;44,85;48,44;47,54;B027018XYZ;Maschinenwaschbar bis 30°C;Filzhöhle Katzenbett F Test 2026 ab 44.85 EUR | katzenbett.d;Filzhöhle Katzenbett F ab 44.85 EUR bei 3 Shops. 3.8/5 aus 38 Bewertungen.
19;katzenhaus-hoehle-natur-g;Katzenhaus Höhle Natur G;YITAHOME;katzenhoehlen;Katzenhöhlen;46,62;;3.8;39;Wildleder;50x50;Ja;Taupe;Katzenhöhlen;Gemütliche Katzenhöhle aus hochwertigem Filz mit ausreichend Platz. Bietet Katzen einen privaten Rückzugsort.;;https://images.unsplash.com/photo-1561948955-570b270e7c36?w=800&h=800&fit=crop&q=80;https://images.unsplash.com/photo-1494256997604-768d1f608cac?w=800&h=800&fit=crop&q=80;https://images.unsplash.com/photo-1585373683920-671438c82bfa?w=800&h=800&fit=crop&q=80;Katzenhaus Höhle Natur G - Bild 1;Katzenhaus Höhle Natur G - Bild 2;Katzenhaus Höhle Natur G - Bild 3;https://amzn.to/PLATZHALTER19;https://zooplus.de/PLATZHALTER/katzenhaus-hoehle-natur-g;https://fressnapf.de/PLATZHALTER/katzenhaus-hoehle-natur-g;46,62;50,35;49,42;B028019XYZ;Rutschfester Boden;Katzenhaus Höhle Natur G Test 2026 ab 46.62 EUR | katzenbett;Katzenhaus Höhle Natur G ab 46.62 EUR bei 3 Shops. 3.8/5 aus 39 Bewertungen.
20;katzeigl-filzhaus-h;Katzeigl Filzhaus H;ACE2ACE;katzenhoehlen;Katzenhöhlen;48,39;;3.8;40;Korund;60x60;Ja;Grau;Katzenhöhlen;Gemütliche Katzenhöhle aus hochwertigem Filz mit ausreichend Platz. Bietet Katzen einen privaten Rückzugsort.;;https://images.unsplash.com/photo-1494256997604-768d1f608cac?w=800&h=800&fit=crop&q=80;https://images.unsplash.com/photo-1585373683920-671438c82bfa?w=800&h=800&fit=crop&q=80;https://images.unsplash.com/photo-1618826411640-d6df44dd3f7a?w=800&h=800&fit=crop&q=80;Katzeigl Filzhaus H - Bild 1;Katzeigl Filzhaus H - Bild 2;Katzeigl Filzhaus H - Bild 3;https://amzn.to/PLATZHALTER20;https://zooplus.de/PLATZHALTER/katzeigl-filzhaus-h;https://fressnapf.de/PLATZHALTER/katzeigl-filzhaus-h;48,39;52,26;51,29;B029020XYZ;Hypoallergen;Katzeigl Filzhaus H Test 2026 ab 48.39 EUR | katzenbett.de;Katzeigl Filzhaus H ab 48.39 EUR bei 3 Shops. 3.8/5 aus 40 Bewertungen.
21;katzenhoehle-aus-filz-i;Katzenhöhle aus Filz I;Pecute;katzenhoehlen;Katzenhöhlen;50,16;60,19;3.8;41;Sisal;70x70;Nein;Beige;Katzenhöhlen;Gemütliche Katzenhöhle aus hochwertigem Filz mit ausreichend Platz. Bietet Katzen einen privaten Rückzugsort.;;https://images.unsplash.com/photo-1585373683920-671438c82bfa?w=800&h=800&fit=crop&q=80;https://images.unsplash.com/photo-1618826411640-d6df44dd3f7a?w=800&h=800&fit=crop&q=80;https://images.unsplash.com/photo-1501820488136-72669149e0d4?w=800&h=800&fit=crop&q=80;Katzenhöhle aus Filz I - Bild 1;Katzenhöhle aus Filz I - Bild 2;Katzenhöhle aus Filz I - Bild 3;https://amzn.to/PLATZHALTER21;https://zooplus.de/PLATZHALTER/katzenhoehle-aus-filz-i;https://fressnapf.de/PLATZHALTER/katzenhoehle-aus-filz-i;50,16;54,17;53,17;B030021XYZ;Umweltfreundlich;Katzenhöhle aus Filz I Test 2026 ab 50.16 EUR | katzenbett.d;Katzenhöhle aus Filz I ab 50.16 EUR bei 3 Shops. 3.8/5 aus 41 Bewertungen.
22;katzen-iglu-bett-j;Katzen Iglu Bett J;Zeze;katzenhoehlen;Katzenhöhlen;51,93;;3.8;42;Plüsch;80x80;Ja;Braun;Katzenhöhlen;Gemütliche Katzenhöhle aus hochwertigem Filz mit ausreichend Platz. Bietet Katzen einen privaten Rückzugsort.;;https://images.unsplash.com/photo-1618826411640-d6df44dd3f7a?w=800&h=800&fit=crop&q=80;https://images.unsplash.com/photo-1501820488136-72669149e0d4?w=800&h=800&fit=crop&q=80;https://images.unsplash.com/photo-1497752531616-c3afd9760a11?w=800&h=800&fit=crop&q=80;Katzen Iglu Bett J - Bild 1;Katzen Iglu Bett J - Bild 2;Katzen Iglu Bett J - Bild 3;https://amzn.to/PLATZHALTER22;https://zooplus.de/PLATZHALTER/katzen-iglu-bett-j;https://fressnapf.de/PLATZHALTER/katzen-iglu-bett-j;51,93;56,08;55,05;B031022XYZ;Leicht zu reinigen;Katzen Iglu Bett J Test 2026 ab 51.93 EUR | katzenbett.de;Katzen Iglu Bett J ab 51.93 EUR bei 3 Shops. 3.8/5 aus 42 Bewertungen.
23;filzhoehle-katzenbett-k;Filzhöhle Katzenbett K;LucyBalu;katzenhoehlen;Katzenhöhlen;53,70;;3.8;43;Baumwolle;90x90;Ja;Dunkelgrau;Katzenhöhlen;Gemütliche Katzenhöhle aus hochwertigem Filz mit ausreichend Platz. Bietet Katzen einen privaten Rückzugsort.;;https://images.unsplash.com/photo-1501820488136-72669149e0d4?w=800&h=800&fit=crop&q=80;https://images.unsplash.com/photo-1497752531616-c3afd9760a11?w=800&h=800&fit=crop&q=80;https://images.unsplash.com/photo-1529778873920-4da4926a72c2?w=800&h=800&fit=crop&q=80;Filzhöhle Katzenbett K - Bild 1;Filzhöhle Katzenbett K - Bild 2;Filzhöhle Katzenbett K - Bild 3;https://amzn.to/PLATZHALTER23;https://zooplus.de/PLATZHALTER/filzhoehle-katzenbett-k;https://fressnapf.de/PLATZHALTER/filzhoehle-katzenbett-k;53,70;58,00;56,92;B032023XYZ;Ergonomisches Design;Filzhöhle Katzenbett K Test 2026 ab 53.70 EUR | katzenbett.d;Filzhöhle Katzenbett K ab 53.70 EUR bei 3 Shops. 3.8/5 aus 43 Bewertungen.
